customerid,age,marital,education,balance,housing,loan,duration,campaign,pdays,previous,current,deposit
39195,28,married,secondary,17,yes,no,269,1,-1,0,1,no
65301,28,married,secondary,6,yes,no,254,1,-1,0,1,no
48578,33,married,secondary,353,yes,no,107,2,-1,0,1,no
39464,50,married,secondary,4117,no,no,530,1,-1,0,1,yes
94387,52,divorced,primary,-644,no,no,119,3,-1,0,1,no
65157,51,married,tertiary,746,no,no,372,5,-1,0,1,yes
94036,34,married,tertiary,1778,no,no,358,1,162,2,1,yes
20449,30,single,tertiary,3410,yes,no,140,1,-1,0,1,no
74495,53,married,tertiary,3634,no,no,211,4,88,8,1,yes
90274,21,single,unknown,-28,yes,no,125,1,-1,0,1,no
34821,48,married,tertiary,2460,no,no,106,11,-1,0,1,no
82899,44,married,primary,1147,yes,no,23,1,-1,0,1,no
33366,29,single,tertiary,13,yes,no,26,6,-1,0,1,no
35974,40,married,primary,72,yes,yes,849,1,-1,0,1,yes
88166,42,married,secondary,1865,yes,no,164,1,-1,0,1,no
96396,45,married,primary,408,no,no,253,2,-1,0,1,no
38160,34,married,secondary,187,yes,no,379,2,-1,0,1,no
94158,28,married,secondary,143,yes,no,44,13,-1,0,1,no
80143,40,married,primary,210,yes,no,22,4,-1,0,1,no
22268,47,married,secondary,5041,no,no,184,1,-1,0,1,no
81444,29,single,tertiary,80,yes,no,15,5,361,1,1,no
76224,57,married,secondary,1230,no,no,78,4,-1,0,1,no
35646,51,married,primary,565,yes,yes,157,7,250,3,1,no
91589,57,married,secondary,919,yes,yes,408,2,-1,0,1,no
2288,57,married,primary,4,no,no,50,5,-1,0,1,no
29266,40,married,secondary,1074,yes,no,90,2,-1,0,1,no
91683,39,married,primary,562,no,no,234,2,-1,0,1,no
49713,25,married,secondary,1782,yes,no,549,1,-1,0,1,no
46581,32,single,secondary,199,yes,no,70,1,336,1,1,no
254,42,married,tertiary,9916,yes,no,306,1,-1,0,1,no
73483,44,married,primary,1880,yes,no,34,1,124,6,1,no
24418,56,married,unknown,0,no,no,83,2,-1,0,1,no
35290,30,single,tertiary,136,yes,yes,208,5,-1,0,1,no
76811,42,divorced,tertiary,266,no,yes,228,1,-1,0,1,no
49771,34,married,secondary,-58,yes,yes,157,2,-1,0,1,no
65577,30,married,tertiary,101,yes,no,88,1,-1,0,1,no
58465,33,married,tertiary,418,yes,no,159,1,-1,0,1,no
37435,42,married,secondary,8036,no,no,948,5,-1,0,1,no
9226,46,married,primary,327,no,yes,145,4,-1,0,1,no
34564,48,divorced,tertiary,3520,yes,no,73,4,-1,0,1,no
24186,30,single,primary,4009,yes,no,260,4,-1,0,1,no
4836,38,married,tertiary,-498,no,no,85,6,-1,0,1,no
18952,40,married,secondary,0,yes,no,225,1,-1,0,1,no
3924,42,divorced,secondary,117,yes,no,105,1,-1,0,1,no
12681,55,married,tertiary,46,no,no,59,4,-1,0,1,no
97150,35,married,secondary,262,no,no,427,1,181,3,1,yes
21974,0,married,secondary,2054,yes,no,447,1,-1,0,1,no
43539,48,divorced,primary,432,yes,no,152,2,-1,0,1,no
75377,27,single,primary,540,no,no,115,1,-1,0,1,no
17853,48,married,secondary,238,yes,yes,118,2,81,1,1,no
88509,32,married,primary,289,yes,no,23,4,-1,0,1,no
21558,37,married,tertiary,16,no,no,280,1,-1,0,1,no
42047,43,divorced,secondary,1612,no,no,119,2,95,3,1,no
48647,31,married,secondary,3584,yes,yes,467,1,-1,0,1,no
87645,27,single,secondary,63,no,no,98,1,-1,0,1,no
41588,42,divorced,secondary,47,yes,yes,141,1,-1,0,1,no
73159,46,married,secondary,3,yes,yes,614,3,-1,0,1,yes
29859,41,married,secondary,7870,yes,no,48,2,-1,0,1,no
36694,40,divorced,secondary,-81,no,yes,186,1,-1,0,1,no
78668,30,married,secondary,419,yes,no,390,1,-1,0,1,no
59480,39,married,tertiary,3,yes,no,1145,1,170,1,1,no
63955,44,married,tertiary,13853,yes,no,1329,3,-1,0,1,no
84401,30,single,secondary,1282,yes,no,346,3,356,2,1,no
3672,28,married,secondary,957,yes,yes,646,3,-1,0,1,no
8358,38,divorced,secondary,410,no,no,63,6,-1,0,1,no
59103,56,divorced,secondary,0,no,no,103,1,-1,0,1,no
13348,45,single,secondary,-688,no,yes,106,1,-1,0,1,no
29499,54,married,tertiary,384,yes,no,30,7,-1,0,1,no
72542,40,married,secondary,4259,no,no,454,4,-1,0,1,no
2935,30,single,secondary,1309,no,no,622,1,-1,0,1,yes
40501,48,married,secondary,2088,no,yes,93,1,-1,0,1,no
2865,35,married,secondary,1397,yes,no,114,4,-1,0,1,no
19643,32,single,tertiary,202,no,no,16,5,-1,0,1,no
25408,48,married,secondary,817,no,no,517,1,282,4,1,yes
64250,43,single,tertiary,1696,yes,no,257,1,474,3,1,yes
46925,41,married,secondary,442,yes,yes,261,3,322,1,1,no
92523,32,single,secondary,2326,yes,no,62,3,-1,0,1,no
81535,51,married,primary,362,yes,no,108,4,272,2,1,no
77958,32,divorced,tertiary,1145,yes,no,580,1,350,4,1,no
82081,60,married,primary,3230,no,no,281,4,-1,0,1,no
59152,27,married,secondary,3415,no,no,266,3,184,1,1,yes
57929,41,divorced,tertiary,1757,no,no,515,13,-1,0,1,no
94224,60,married,primary,130,no,no,374,2,-1,0,1,no
68139,30,married,secondary,1013,yes,no,24,9,-1,0,1,no
8198,31,single,secondary,1014,yes,no,158,4,-1,0,1,no
83406,38,divorced,secondary,889,no,yes,362,1,-1,0,1,no
53546,46,married,unknown,76,no,no,181,2,-1,0,1,no
9270,46,married,secondary,1804,no,no,80,2,-1,0,1,no
21129,45,married,primary,456,yes,no,255,1,-1,0,1,no
32023,30,married,secondary,357,yes,no,659,4,-1,0,1,no
59818,31,single,tertiary,387,no,no,149,1,-1,0,1,no
38325,54,married,tertiary,1460,no,yes,341,3,202,7,1,no
43357,51,married,tertiary,5254,yes,no,134,1,-1,0,1,yes
41527,52,married,tertiary,575,no,no,315,1,-1,0,1,no
26501,53,divorced,primary,-17,yes,yes,508,1,-1,0,1,no
11483,41,married,secondary,1822,no,yes,391,1,-1,0,1,no
72451,75,married,secondary,468,no,no,316,1,-1,0,1,no
90238,52,married,primary,142,no,no,924,5,-1,0,1,no
58839,41,married,secondary,2959,yes,no,110,1,-1,0,1,no
70394,41,married,secondary,-217,yes,no,313,1,349,3,1,no
57055,29,single,secondary,460,yes,no,191,2,357,6,1,no
1346,33,divorced,secondary,385,no,no,29,28,-1,0,1,no
55325,42,married,secondary,-43,yes,yes,363,3,-1,0,1,no
21298,31,married,tertiary,-253,no,no,220,4,-1,0,1,no
68051,30,married,secondary,5143,yes,yes,236,2,-1,0,1,no
83350,32,married,tertiary,6138,no,no,211,2,196,7,1,no
47718,42,married,secondary,641,no,no,111,1,1,1,1,no
13026,33,married,secondary,48,yes,no,164,5,294,3,1,no
62115,57,married,secondary,32,yes,no,476,3,-1,0,1,no
32398,26,single,tertiary,521,no,no,123,3,-1,0,1,no
28388,50,single,secondary,2668,no,no,1606,1,-1,0,1,no
44786,44,married,secondary,72,yes,no,456,1,-1,0,1,no
5578,33,married,tertiary,210,yes,no,84,1,167,1,1,no
58180,83,married,primary,425,no,no,912,1,-1,0,1,no
24954,35,married,secondary,80,yes,yes,579,2,-1,0,1,no
63378,34,single,unknown,5827,no,no,97,2,-1,0,1,no
72612,26,single,tertiary,6,yes,no,171,1,-1,0,1,no
77590,62,married,tertiary,557,no,no,185,1,-1,0,1,yes
10199,39,single,secondary,2645,yes,no,339,3,-1,0,1,no
51216,49,single,secondary,5802,no,no,618,2,-1,0,1,yes
48251,38,divorced,tertiary,82,no,no,38,13,-1,0,1,no
34258,38,married,tertiary,76,yes,no,196,3,-1,0,1,no
7013,35,married,secondary,126,yes,no,472,1,-1,0,1,no
46323,41,single,unknown,2701,yes,no,278,4,-1,0,1,no
30922,37,married,tertiary,6815,yes,no,92,2,172,2,1,no
70284,25,single,tertiary,1954,yes,yes,66,1,351,1,1,no
842,47,married,tertiary,260,no,yes,138,2,-1,0,1,no
58859,49,married,secondary,90,yes,no,127,1,-1,0,1,no
93736,38,married,secondary,2342,no,no,136,2,-1,0,1,no
70783,31,single,secondary,430,no,no,129,4,-1,0,1,no
14268,47,married,tertiary,362,yes,no,97,5,-1,0,1,no
99878,46,married,secondary,5169,no,no,72,14,-1,0,1,no
29645,58,married,tertiary,289,no,no,182,2,-1,0,1,no
29920,23,single,tertiary,691,no,no,1178,1,178,6,1,yes
67340,42,married,primary,1547,yes,yes,272,3,-1,0,1,no
20424,37,married,secondary,749,no,no,219,1,-1,0,1,no
48357,41,married,tertiary,1517,no,no,193,3,-1,0,1,yes
20688,32,single,tertiary,1012,no,no,178,1,-1,0,1,no
174,32,single,tertiary,611,yes,yes,353,1,-1,0,1,no
65702,60,single,primary,11262,no,no,323,1,-1,0,1,yes
11410,45,married,secondary,1477,yes,no,75,1,132,1,1,no
47176,77,married,tertiary,5619,no,no,189,1,-1,0,1,no
83558,63,married,secondary,1612,no,no,233,2,-1,0,1,yes
88461,56,married,tertiary,478,no,no,97,1,-1,0,1,no
62654,34,married,secondary,190,yes,no,121,3,-1,0,1,no
72440,36,single,secondary,1822,yes,no,952,1,323,1,1,yes
48869,39,married,secondary,694,yes,no,413,5,-1,0,1,no
98600,38,married,secondary,-673,yes,no,364,1,-1,0,1,no
51385,28,single,secondary,260,yes,no,374,2,-1,0,1,no
34845,35,single,tertiary,2928,yes,no,54,1,-1,0,1,no
64468,25,single,secondary,2354,no,no,149,1,84,7,1,no
80006,55,married,secondary,34,yes,yes,97,3,-1,0,1,no
95754,61,married,secondary,3340,no,no,224,1,-1,0,1,no
169,41,married,secondary,6687,yes,no,91,3,-1,0,1,no
54775,37,married,tertiary,0,no,no,112,4,-1,0,1,no
89722,30,single,secondary,178,yes,no,747,5,-1,0,1,no
93582,48,married,unknown,1103,yes,no,52,1,-1,0,1,no
94883,36,married,secondary,154,yes,no,231,1,96,2,1,no
35952,40,single,secondary,3,yes,yes,154,1,305,9,1,no
55497,32,single,secondary,2696,yes,no,564,2,183,1,1,no
53597,55,single,secondary,1539,no,no,65,2,-1,0,1,no
90158,57,married,primary,0,yes,no,62,2,273,2,1,no
15879,38,single,tertiary,493,yes,no,553,1,367,7,1,no
40544,58,married,secondary,-382,no,no,398,4,189,12,1,no
73186,63,divorced,secondary,859,no,no,92,1,-1,0,1,no
11214,28,single,secondary,26,yes,no,227,2,-1,0,1,no
48550,46,single,tertiary,2904,yes,no,984,2,-1,0,1,yes
13857,33,married,secondary,-124,no,no,150,2,325,1,1,no
79908,31,single,tertiary,220,yes,no,257,2,184,2,1,no
67970,47,married,secondary,2892,no,no,556,1,-1,0,1,yes
65920,33,single,secondary,48,yes,no,303,1,-1,0,1,no
66326,41,married,tertiary,585,yes,no,60,1,-1,0,1,no
47524,32,divorced,secondary,453,yes,no,329,1,150,2,1,no
53692,32,married,secondary,-220,yes,yes,123,2,-1,0,1,no
20104,26,single,secondary,-128,no,yes,392,2,-1,0,1,no
83931,27,single,secondary,1110,yes,yes,25,36,-1,0,1,no
43450,38,single,tertiary,560,no,no,316,1,-1,0,1,no
30924,29,married,secondary,823,yes,no,14,2,-1,0,1,no
27153,55,married,secondary,445,no,no,99,2,-1,0,1,no
15336,38,married,secondary,1731,yes,yes,162,2,350,4,1,no
35575,46,divorced,tertiary,8017,yes,yes,169,2,-1,0,1,no
55067,42,married,secondary,215,yes,yes,158,1,-1,0,1,no
46390,39,married,secondary,1751,no,no,178,2,-1,0,1,no
33854,45,married,primary,0,no,yes,74,2,-1,0,1,no
37247,38,divorced,tertiary,10638,no,no,159,2,-1,0,1,no
5885,34,married,secondary,295,yes,yes,64,1,-1,0,1,no
60951,36,single,tertiary,188,no,no,55,2,-1,0,1,no
72714,48,single,primary,755,yes,no,65,2,-1,0,1,no
21269,26,single,secondary,352,no,no,202,2,-1,0,1,no
37831,28,married,secondary,1119,yes,no,74,1,-1,0,1,no
12066,35,married,secondary,978,no,no,660,2,182,6,1,yes
92156,39,married,primary,2133,yes,yes,179,1,-1,0,1,no
83932,43,married,tertiary,4923,yes,no,1102,1,-1,0,1,no
42876,39,married,secondary,281,no,no,78,7,-1,0,1,no
60333,39,married,primary,766,yes,no,350,3,-2,0,1,no
17712,42,single,secondary,0,no,no,656,2,-1,0,1,no
16799,40,divorced,secondary,348,yes,no,142,2,-1,0,1,no
93592,37,single,tertiary,6101,no,no,141,1,-1,0,1,yes
75846,41,divorced,tertiary,902,yes,no,134,1,-1,0,1,no
69959,36,married,secondary,2278,yes,no,200,3,298,1,1,no
95376,37,married,secondary,647,yes,no,41,1,-1,0,1,no
88643,34,single,tertiary,625,no,yes,34,1,-1,0,1,yes
85942,37,married,tertiary,5106,no,no,244,1,-1,0,1,yes
52971,34,married,secondary,133,no,no,401,2,187,5,1,yes
98472,53,divorced,secondary,519,yes,no,126,1,-1,0,1,no
45642,56,divorced,tertiary,2272,yes,no,263,5,-1,0,1,no
18975,48,married,secondary,3519,no,yes,229,1,60,2,1,no
4453,56,married,secondary,1894,yes,no,189,1,-1,0,1,no
16314,38,married,secondary,205,yes,no,170,1,-1,0,1,no
96436,35,divorced,secondary,-504,no,no,228,1,-1,0,1,no
18509,41,married,secondary,429,yes,no,244,1,-1,0,1,no
